name, location, isapk, category, packageName
Next Number - Logic Brain Game, https://apkpure.com/tw/next-number-math-brain-game/com.profamath.nextnumbermathgame/downloading, apk, casual-game, com.profamath.nextnumbermathgame
Bubble POP GO!, https://apkpure.com/tw/bubble-pop-go/com.bubbleshooter.pop.go.classic.puzzle.games/downloading, xapk, casual-game, com.bubbleshooter.pop.go.classic.puzzle.games
彈珠射手 Marble Viola's Quest, https://apkpure.com/tw/violas-quest-marble-blast/com.twodesperados.violasquest/downloading, xapk, casual-game, com.twodesperados.violasquest
太空農夫, https://apkpure.com/tw/idle-space-farmer-tycoon/com.anxiousottergames.spacefarmer/downloading, xapk, casual-game, com.anxiousottergames.spacefarmer
Car Rush 3D: Racing Master, https://apkpure.com/tw/car-rush-3d-racing-master/com.furious.car.racing.master/downloading, xapk, casual-game, com.furious.car.racing.master
Cube Fun Tap, https://apkpure.com/tw/cube-fun-tap/com.cube.tap.fun.teor.game/downloading, xapk, casual-game, com.cube.tap.fun.teor.game
Bubble Shooter Gem Puzzle Pop, https://apkpure.com/tw/bubble-shooter-gem-puzzle-pop/com.pop.bubbleshooter.gem.classic.games/downloading, xapk, casual-game, com.pop.bubbleshooter.gem.classic.games
Arcade Games - Relax and Fun, https://apkpure.com/tw/arcade-games-relax-and-fun/com.tinyfun.arcadegamecollection/downloading, xapk, casual-game, com.tinyfun.arcadegamecollection
甜瓜機 : 水果遊戲, https://apkpure.com/tw/melon-maker-fruit-game/com.superbox.aos.suikagame/downloading, xapk, casual-game, com.superbox.aos.suikagame
Belbet End Less, https://apkpure.com/tw/belbet-end-less/com.playersadda.app/downloading, xapk, casual-game, com.playersadda.app
洛斯特維爾：尋找藏匿的物品, https://apkpure.com/tw/lostville-find-hidden-objects/com.dp.seekville.hidden.objects/downloading, xapk, casual-game, com.dp.seekville.hidden.objects
Liar's Club : Bluff Party Game, https://apkpure.com/tw/liar-s-club-bluff-party-game/com.sa.liar.club.desk.game/downloading, xapk, casual-game, com.sa.liar.club.desk.game
三重匹配：商品分類大師, https://apkpure.com/tw/match-triple-sort-goods-master/com.sort.match.games.triple.master.closet.goods/downloading, xapk, casual-game, com.sort.match.games.triple.master.closet.goods
Rainbow Agent: Disguise Master, https://apkpure.com/tw/rainbow-agent-disguise-master/com.mirai.rainbow.agent.blend.in/downloading, xapk, casual-game, com.mirai.rainbow.agent.blend.in
Pug Pop Bubble Shooter 2, https://apkpure.com/tw/pug-pop-bubble-shooter-2/com.daymoon.PugPopBubbleShootertwo/downloading, xapk, casual-game, com.daymoon.PugPopBubbleShootertwo
Whirlwind Evolution, https://apkpure.com/tw/whirlwind-evolution/com.whirlwind.evolution/downloading, xapk, casual-game, com.whirlwind.evolution
CARRIEVERSE, https://apkpure.com/tw/carrieverse/com.carrieverse.carriepark/downloading, xapk, casual-game, com.carrieverse.carriepark
Tap Away 3D：點擊大師, https://apkpure.com/tw/tap-block-away-3d-tap-master/com.sg.tap.away.tile3d.master.game/downloading, xapk, casual-game, com.sg.tap.away.tile3d.master.game
Satiszone: 完美ASMR遊戲, https://apkpure.com/tw/satiszone-perfect-asmr-tidy/com.satisfy.asmr.relax.perfect.tidy/downloading, xapk, casual-game, com.satisfy.asmr.relax.perfect.tidy
射箭, https://apkpure.com/tw/arrow-shooting/com.cocopapasoft.arrowshooting/downloading, xapk, casual-game, com.cocopapasoft.arrowshooting
Tile Story, https://apkpure.com/tw/tile-story/com.relax.tile.story/downloading, xapk, casual-game, com.relax.tile.story
Water Ring Toss, https://apkpure.com/tw/water-ring-toss/dhs.waterring/downloading, apk, casual-game, dhs.waterring
Push Tower, https://apkpure.com/tw/push-tower/com.tp.PushTower/downloading, xapk, casual-game, com.tp.PushTower
捕魚合成大亨-深海之王, https://apkpure.com/tw/fishing-tycoon-merge-explore/com.joybat.fishing_merg_master/downloading, xapk, casual-game, com.joybat.fishing_merg_master
Draw Curves, https://apkpure.com/tw/draw-curves/com.jawad.drawcurves/downloading, apk, casual-game, com.jawad.drawcurves
Vitality Zoo - Merge Puzzle, https://apkpure.com/tw/vitality-zoo-merge-puzzle/com.vitality.animal.puzzle.zoo/downloading, xapk, casual-game, com.vitality.animal.puzzle.zoo
Usdc Faucetbase - usdc, https://apkpure.com/tw/usdc-faucetbase-usdc/com.ufb.usdc_faucetbase/downloading, xapk, casual-game, com.ufb.usdc_faucetbase
Bolt Puzzle-Screw Maze, https://apkpure.com/tw/bolt-puzzle-screw-maze/com.puzzlebli.butyfou/downloading, xapk, casual-game, com.puzzlebli.butyfou
Adorable Animal Merge, https://apkpure.com/tw/adorable-animal-merge/com.animal.avatar.merge.adorable/downloading, xapk, casual-game, com.animal.avatar.merge.adorable
Ninja Ogi, https://apkpure.com/tw/defend-the-kingdom/com.zpqlxd.mklqguds/downloading, xapk, casual-game, com.zpqlxd.mklqguds
Hunting Sniper, https://apkpure.com/tw/hunting-sniper/com.ru.huntingsniper/downloading, xapk, casual-game, com.ru.huntingsniper
I Like ABC, https://apkpure.com/tw/i-like-abc/com.moonstripes.abc/downloading, xapk, casual-game, com.moonstripes.abc
Bus Clear, https://apkpure.com/tw/bus-clear/com.hitappsgames.busclear/downloading, xapk, casual-game, com.hitappsgames.busclear
史萊姆模擬器 ASMR 藝術, https://apkpure.com/tw/diy-slime-simulator-asmr-art/superdiy.slime.simulator.asmr.art/downloading, xapk, casual-game, superdiy.slime.simulator.asmr.art
Merge Nightmare-idle impostor, https://apkpure.com/tw/merge-nightmare-idle-impostor/com.JadeHeaven.MergeBlue/downloading, xapk, casual-game, com.JadeHeaven.MergeBlue
Goods Stack 3D, https://apkpure.com/tw/goods-stack-3d/com.goods.stack.sorting.closet.free.game/downloading, xapk, casual-game, com.goods.stack.sorting.closet.free.game
戀與改裝 - 合併恋爱之旅, https://apkpure.com/tw/love-fashion-merge-story/com.skyfun.loveandfashiongp/downloading, xapk, casual-game, com.skyfun.loveandfashiongp
King Of Destiny, https://apkpure.com/tw/king-of-destiny/com.InfiniGods.KOD/downloading, xapk, casual-game, com.InfiniGods.KOD
益智卡通拼圖遊戲 - Cartoon Jigsaw, https://apkpure.com/tw/cartoon-jigsaw-puzzles/com.cartoon.jigsaw.puzzles.art/downloading, xapk, casual-game, com.cartoon.jigsaw.puzzles.art
Idol Livestream: Dress Up Game, https://apkpure.com/tw/idol-livestream-dress-up-game/com.idol.live.stream.game/downloading, xapk, casual-game, com.idol.live.stream.game
cubes world, https://apkpure.com/tw/cubes-world-endless-runner/com.RafaatAshour.CubesWorld/downloading, xapk, casual-game, com.RafaatAshour.CubesWorld
Sound Hero: Animal Kingdom, https://apkpure.com/tw/sound-hero-animal-kingdom/com.DawnOfHaven.SoundHeroAnimalKingdom/downloading, apk, casual-game, com.DawnOfHaven.SoundHeroAnimalKingdom
Big Rewards, https://apkpure.com/tw/big-rewards/com.bigrewards.jewelcash/downloading, xapk, casual-game, com.bigrewards.jewelcash
Solitaire Dream Build, https://apkpure.com/tw/solitaire-dream-build/com.gameamong.solitairedreambuild/downloading, xapk, casual-game, com.gameamong.solitairedreambuild
Collect Ball-Connect All, https://apkpure.com/tw/collect-ball-match-em-all/com.katanlabs.matchballgame/downloading, xapk, casual-game, com.katanlabs.matchballgame
Happy Farm - a relaxing game, https://apkpure.com/tw/happy-farm-a-relaxing-game/com.sheep.gameapp/downloading, xapk, casual-game, com.sheep.gameapp
Coin Fantasy, https://apkpure.com/tw/coin-fantasy/com.okvision.coinfantasy/downloading, xapk, casual-game, com.okvision.coinfantasy
Recall Case Tricky Brain Test, https://apkpure.com/tw/recall-case-tricky-brain-test/com.higame.par.flashback.detective.tricky.quiz/downloading, xapk, casual-game, com.higame.par.flashback.detective.tricky.quiz
索尼克狂熱 Plus - NETFLIX, https://apkpure.com/tw/sonic-mania-plus-netflix/com.netflix.NGP.SonicMania/downloading, xapk, action-game, com.netflix.NGP.SonicMania
薑餅人之塔, https://apkpure.com/tw/cookierun-tower-of-adventures/com.devsisters.cba/downloading, xapk, action-game, com.devsisters.cba
天空戰士：空戰遊戲, https://apkpure.com/tw/sky-warriors-airplane-games/com.wildlifestudios.jet.airplane.games.sky.warriors/downloading, xapk, action-game, com.wildlifestudios.jet.airplane.games.sky.warriors
Obby Fun Games: Parkour Online, https://apkpure.com/tw/obby-guys-online-parkour-jump/com.anrum.obby.guys.online.parkour.up/downloading, xapk, action-game, com.anrum.obby.guys.online.parkour.up
Jump Up 3D: Basketball game, https://apkpure.com/tw/jump-up-3d-basketball-game/com.funtory.jumpdunk/downloading, xapk, action-game, com.funtory.jumpdunk
Shadow Squad: Survival, https://apkpure.com/tw/shadow-squad-survival/com.huracan.CuzeSquadShooter/downloading, xapk, action-game, com.huracan.CuzeSquadShooter
Drunken Boxing: Ragdoll Rumble, https://apkpure.com/tw/drunken-boxing-ragdoll-rumble/com.pkfgames.drunkenboxingactiveragdollfallflat/downloading, xapk, action-game, com.pkfgames.drunkenboxingactiveragdollfallflat
戰爭機器：坦克軍隊遊戲 (War Machines), https://apkpure.com/tw/war-machines-tanks-battle-game/com.fungames.battletanksbeta/downloading, xapk, action-game, com.fungames.battletanksbeta
SmashKarts.io, https://apkpure.com/tw/smashkarts-io/com.tallteam.citychase/downloading, xapk, action-game, com.tallteam.citychase
Mimicry: Online Horror Action, https://apkpure.com/tw/mimicry-online-horror-action/com.eg.mimicry.horror.online/downloading, xapk, action-game, com.eg.mimicry.horror.online
